MemberID,FirstName,LastName,Email,Phone,Status,JoinedDate
259a4829-4ef8-4d50-bab0-fbd884b01528,Michelle,Morris,qjohnson@example.net,7083955590,Active,4/1/2025 12:00:00 AM
c1bc0789-9caf-43f5-8eab-5f89a91a9c65,Brandon,Durham,johnsonshawn@example.net,94241382039423,Pending,4/1/2025 12:00:00 AM
995a40d6-9d51-49b4-ac03-10cd2f17bd37,Angela,Lee,lauren69@example.org,18559712223583,Inactive,4/1/2025 12:00:00 AM
4e28b52f-308e-4336-93e6-732ff96447a5,Richard,Jackson,hayesmichelle@example.net,16728537749,Active,4/1/2025 12:00:00 AM
7f9c383e-30e1-4ab1-a42f-bebf79094f15,Michael,Roberts,lscott@example.org,6313658354,Inactive,4/1/2025 12:00:00 AM
57cdaceb-9308-440a-9203-da8af9699a29,Savannah,Page,thomascindy@example.org,19998977266471,Active,4/1/2025 12:00:00 AM
d6b8e84c-a1fc-45c8-b87d-54a065151f4a,Dustin,Richardson,taylormary@example.com,9372781417,Active,4/1/2025 12:00:00 AM
06cd7f1a-aae5-489b-9fbc-bc81b613c2f7,Chelsea,Bradley,dukebryan@example.org,3637138851,Active,4/1/2025 12:00:00 AM
250c5aaa-ca09-43fb-8778-7dde36cbe410,Cheryl,Brown,wgiles@example.net,0014018176747,Active,4/1/2025 12:00:00 AM
835f2dd7-0124-4ea4-ae6d-fa547f381581,Robert,Gay,kenneth66@example.com,2379752432,Pending,4/1/2025 12:00:00 AM
194e4f60-49dc-4aec-ae22-0c5f7ec9b7ca,Annette,Norris,ythompson@example.com,3115738704,Inactive,4/1/2025 12:00:00 AM
0eef9bd8-a2b0-493c-bff6-13d7b772ba51,Mary,Kemp,wscott@example.org,0016096739748,Inactive,4/1/2025 12:00:00 AM
923b4d7b-829f-4b3b-aed3-4ceb038b27de,Christian,Brown,alice52@example.net,949472351400382,Active,4/1/2025 12:00:00 AM
1505ed86-e9c9-4d38-b40d-3d41fe532757,Evan,George,stephaniewatson@example.net,3129734837,Inactive,4/1/2025 12:00:00 AM
61084d97-18d6-41a6-9def-20da2a07cf3a,Christopher,Walker,alirebecca@example.net,4282494972,Pending,4/1/2025 12:00:00 AM
952aed5f-e06a-4eac-a66d-f2f58843dbbe,Jacqueline,Perez,autumnwashington@example.org,883519583876873,Inactive,4/1/2025 12:00:00 AM
0b6699b3-226f-47e8-bf6d-868b10712605,Michael,Chavez,jaredchavez@example.com,54533923031129,Pending,4/1/2025 12:00:00 AM
cf3a477f-0c34-4f21-8915-276eb3799865,Anita,Cabrera,floresroberto@example.org,2974487678,Inactive,4/1/2025 12:00:00 AM
49c7bfea-448b-47b4-a609-c43f1b9c4fed,Matthew,Jimenez,carlsonderek@example.org,9847971030,Active,4/1/2025 12:00:00 AM
